date,product_name,store,price
2026-05-16,Switch2 国内版,買取一丁目,76500
2026-05-16,Switch2 ポケモンZ-Aセット,買取一丁目,4500
2026-05-16,Switch Liteイエロー,買取一丁目,26100
2026-05-16,Switch Liteコーラル,買取一丁目,26100
2026-05-16,Switch Liteターコイズ,買取一丁目,26100
2026-05-16,Switch Liteグレー,買取一丁目,26100
2026-05-16,Switch Liteブルー,買取一丁目,26100
2026-05-16,PS5,買取一丁目,56500
2026-05-16,PlayStation VR2,買取一丁目,53000
2026-05-16,リモートプレーヤー,買取一丁目,33000
2026-05-16,Xbox X,買取一丁目,87000
2026-05-16,Xbox S,買取一丁目,63800
2026-05-16,Meta Quest 3 512,買取一丁目,83500
2026-05-16,Meta Quest 3S 128GB,買取一丁目,49000
2026-05-16,Meta Quest 3S 256GB,買取一丁目,63500
2026-05-16,X100VI ブラック（旧）,買取一丁目,274500
2026-05-16,X100VI シルバー（旧）,買取一丁目,273000
2026-05-16,SX740 シルバー,買取一丁目,87000
2026-05-16,PowerShot V1,買取一丁目,43000
2026-05-16,LUMIX DC-TZ99 ホワイト,買取一丁目,65000
2026-05-16,LUMIX DC-TZ99 ブラック,買取一丁目,66800
2026-05-16,RICOH GR III,買取一丁目,189300
2026-05-16,RICOH GR IV,買取一丁目,241200
2026-05-16,instax mini 12 ピンク,買取一丁目,12200
2026-05-16,instax mini 40,買取一丁目,17500
2026-05-16,instax mini 99,買取一丁目,26600
2026-05-16,instax SQUARE SQ40 ブラック,買取一丁目,20700
2026-05-16,instax WIDE 400,買取一丁目,24400
2026-05-16,instax WIDE Evo,買取一丁目,38000
2026-05-16,写ルンです（新パッケージ）,買取一丁目,2720
