decision,rank,score,category,priority,ichome_title,jan,price,url,price_type,reason,note
追加候補,S,90,ポケカ,A,ポケモンセンター スペシャルBOX ヒロシマ,4521329427669,21000,https://www.1-chome.com/wineDetail/7458/7458,market,JANあり、BOX系、単価あり、限定・人気BOX系,ポケセン限定系。市場価格基準で入れるなら候補。
追加候補,S,90,ポケカ,A,ポケモンセンター スペシャルBOX フクオカ,4521329431536,20500,https://www.1-chome.com/wineDetail/7554/7554,market,JANあり、BOX系、単価あり、限定・人気BOX系,ポケセン限定系。市場価格基準で入れるなら候補。
追加候補,S,90,ポケカ,A,【S＆V】ブラックボルト デラックス BOX,4521329427300,19000,https://www.1-chome.com/wineDetail/7089/7089,market,JANあり、BOX系、単価あり、限定・人気BOX系,BOX系でJANあり。市場価格基準で扱いやすい。
追加候補,S,90,ポケカ,A,【S＆V】ホワイトフレア デラックス BOX,4521329427324,18000,https://www.1-chome.com/wineDetail/7090/7090,market,JANあり、BOX系、単価あり、限定・人気BOX系,BOX系でJANあり。市場価格基準で扱いやすい。
追加候補,S,90,ポケカ,A,ポケモンセンター スペシャルBOX トウホク,4521329431277,16500,https://www.1-chome.com/wineDetail/7373/7373,market,JANあり、BOX系、単価あり、限定・人気BOX系,ポケセン限定系。市場価格基準で入れるなら候補。
追加候補,A,70,ポケカ,A,【MEGA】 アビスアイ BOX,4521329462127,14200,https://www.1-chome.com/wineDetail/9149/9149,market,JANあり、BOX系、中単価,BOX系で単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【OP-05】 新時代の主役,4570118002174,48500,https://www.1-chome.com/wineDetail/5270/5270,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【OP-01】 ROMANCE DAWN,4549660853503,35000,https://www.1-chome.com/wineDetail/5533/5533,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【EB-02】 Anime 25th collection,4582769733727,21500,https://www.1-chome.com/wineDetail/8007/8007,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【OP-02】 頂上決戦,4549660862963,20000,https://www.1-chome.com/wineDetail/5534/5534,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【OP-06】 双璧の覇者,4570118001962,19500,https://www.1-chome.com/wineDetail/5537/5537,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【OP-09】 新たなる皇帝,4570118259493,19200,https://www.1-chome.com/wineDetail/7818/7818,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【EB-01】 メモリアルコレクション,4570118085047,19000,https://www.1-chome.com/wineDetail/8006/8006,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【OP-04】 謀略の王国,4549660954958,18500,https://www.1-chome.com/wineDetail/5536/5536,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【OP-03】 強大な敵,4549660863373,17000,https://www.1-chome.com/wineDetail/5535/5535,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
追加候補,B,55,ワンピ,A,【OP-16】 決戦の刻,4582769982897,15300,https://www.1-chome.com/wineDetail/9285/9285,market,JANあり、単価あり,未登録BOXで単価あり。市場価格基準で候補。
要確認,B,45,ワンピ,A,【OP-07】 500年後の未来,4570118145765,14800,https://www.1-chome.com/wineDetail/7819/7819,market,JANあり、中単価,単価や商品形態を確認してから判断。
要確認,B,45,ワンピ,A,【OP-08】 二つの伝説,4570118227720,10300,https://www.1-chome.com/wineDetail/8001/8001,market,JANあり、中単価,単価や商品形態を確認してから判断。
保留,保留,-10,ポケカ,B,【MEGA】 スタートデッキ100 バトルコレクション,4521329427270,2000,https://www.1-chome.com/wineDetail/7854/7854,market,JANあり、単価低め、デッキ系は初回優先度低め,低単価のデッキ系。初回追加ではなく後回し。
